transaction_id,amount,time,location,device,transaction_type,account_age_days,num_transactions_last_24h,is_fraud
50,932.42373307238,20,New York,Mobile,Online,1930,19,0
51,4848.227292545147,22,Houston,Laptop,Online,536,1,0
52,3877.9127885719618,4,Los Angeles,Laptop,POS,1014,6,0
53,4698.099718405304,20,San Francisco,Desktop,Online,227,2,0
54,4475.188478633968,4,San Francisco,Mobile,POS,1178,14,0
55,2993.520894267315,9,Los Angeles,Laptop,ATM Withdrawal,1829,6,0
56,4610.152432765353,9,San Francisco,Mobile,ATM Withdrawal,1766,14,0
57,451.5775852390783,18,Chicago,Laptop,Online,1493,4,0
58,987.9544834715346,16,New York,Mobile,POS,822,8,0
59,235.68417166358495,20,Chicago,Desktop,ATM Withdrawal,871,3,0
60,1633.398350508689,13,San Francisco,Laptop,POS,405,19,0
61,1949.4996755505151,8,Houston,Laptop,POS,202,14,0
62,1364.0316685517405,13,New York,Mobile,Online,38,17,0
63,4145.400170668127,0,New York,Mobile,ATM Withdrawal,942,8,0
64,1790.1991002010104,18,Los Angeles,Laptop,Online,1796,14,1
65,1411.86320334003,12,Los Angeles,Desktop,Online,188,6,0
66,2718.05345495966,12,Houston,Mobile,ATM Withdrawal,1081,16,1
67,713.2118826240657,3,New York,Mobile,ATM Withdrawal,941,19,0
68,4012.962933962658,0,Houston,Mobile,POS,1044,14,0
69,382.0077119620564,16,Los Angeles,Laptop,ATM Withdrawal,273,19,0
70,4934.565813636581,7,Los Angeles,Laptop,POS,1143,3,0
71,3863.5013987903203,1,New York,Laptop,POS,583,10,0
72,1001.5912508555203,7,Chicago,Laptop,POS,516,19,0
73,37.55536444677597,6,San Francisco,Desktop,ATM Withdrawal,1245,9,0
74,4079.1525279896223,1,Los Angeles,Desktop,Online,526,13,0
75,3537.2181457996094,21,Los Angeles,Laptop,POS,1539,7,0
76,3647.7457685245267,21,Chicago,Desktop,Online,1752,14,0
77,3858.6390299628692,2,Chicago,Mobile,Online,1765,9,1
78,379.4828121531109,17,Houston,Mobile,ATM Withdrawal,336,19,0
79,1798.7439854359204,11,Houston,Mobile,Online,698,15,1
80,588.1866070303972,0,San Francisco,Laptop,Online,1079,14,0
81,4316.886095119212,21,San Francisco,Mobile,ATM Withdrawal,500,6,0
82,3120.257652869514,11,New York,Desktop,POS,900,4,0
83,1661.1811440147194,4,Houston,Laptop,Online,1912,8,0
84,327.1561679272579,16,Los Angeles,Desktop,ATM Withdrawal,766,17,0
85,1561.8017853611543,15,Houston,Mobile,Online,536,9,0
86,1632.6647769134677,14,Los Angeles,Mobile,Online,162,1,0
87,3650.73482990694,22,Chicago,Mobile,POS,1694,14,1
88,3191.4117820625133,14,Houston,Laptop,Online,594,11,0
89,4437.191585455869,4,Chicago,Desktop,ATM Withdrawal,1939,3,0
90,2366.352476558127,20,San Francisco,Laptop,Online,159,9,0
91,606.7752872321255,13,San Francisco,Laptop,POS,1212,14,0
92,3569.091488242745,1,New York,Mobile,POS,60,9,0
93,3806.3173925983183,10,Houston,Laptop,ATM Withdrawal,915,4,0
94,2810.7732158717863,18,Chicago,Laptop,POS,1841,4,0
95,3857.126227973259,6,Los Angeles,Mobile,Online,1343,8,0
96,2474.04002585831,5,San Francisco,Laptop,POS,1902,2,0
97,2618.4368186161505,1,San Francisco,Mobile,ATM Withdrawal,211,9,0
98,2143.429681609163,5,Los Angeles,Mobile,POS,406,14,0
99,136.84144245303497,17,Chicago,Mobile,POS,664,9,0
100,548.3782206965892,1,Chicago,Mobile,POS,1133,16,0
101,166.8316365768039,17,Houston,Laptop,ATM Withdrawal,1100,17,0
102,3185.687952206264,14,Houston,Mobile,POS,542,16,0
103,1578.6363455708702,18,New York,Mobile,POS,1338,12,0
104,2547.767748911867,1,San Francisco,Laptop,Online,998,3,0
105,4538.756704891204,19,Houston,Laptop,ATM Withdrawal,1141,11,0
106,1253.968223452886,5,Chicago,Desktop,POS,927,14,0
107,2057.8107859477923,0,Los Angeles,Laptop,ATM Withdrawal,868,18,0
108,3780.200181329813,23,Chicago,Laptop,POS,1728,5,0
109,1151.7028458031962,14,San Francisco,Desktop,POS,19,16,0
110,394.12975004567704,22,Chicago,Laptop,POS,432,5,0
111,1455.8597500397025,9,New York,Laptop,Online,1709,3,0
112,814.4942233974821,18,San Francisco,Laptop,Online,740,12,0
113,4649.191285189439,16,Los Angeles,Laptop,Online,1374,1,0
114,4042.5206940264407,4,New York,Desktop,ATM Withdrawal,183,9,0
115,3170.684744987013,3,San Francisco,Laptop,ATM Withdrawal,113,9,0
116,4358.588345036711,9,Los Angeles,Laptop,Online,1207,4,0
117,4020.3236637265813,23,New York,Desktop,ATM Withdrawal,481,3,0
118,940.9845938413189,16,New York,Mobile,POS,1170,17,0
119,4463.869402464989,9,San Francisco,Desktop,POS,831,2,0
120,2701.317787159097,16,Houston,Mobile,POS,1652,1,0
121,4039.126374268672,19,New York,Desktop,Online,1137,8,0
122,4481.495586618231,23,New York,Desktop,ATM Withdrawal,763,13,0
123,1596.8373401096007,4,Los Angeles,Laptop,Online,476,15,0
124,559.159103393107,1,Chicago,Mobile,ATM Withdrawal,763,8,0
125,1147.396461084289,5,San Francisco,Laptop,POS,1327,12,0
126,2141.267865245019,20,San Francisco,Mobile,Online,971,12,0
127,4091.8936819532405,1,Houston,Desktop,ATM Withdrawal,1849,14,0
128,4305.045610449154,12,Houston,Desktop,ATM Withdrawal,1020,15,0
129,44.69113135064161,10,San Francisco,Mobile,POS,1142,15,0
130,2558.629039862053,10,Houston,Laptop,Online,1837,9,0
131,2092.880905712407,15,Los Angeles,Laptop,Online,161,19,0
132,1118.317974248944,10,San Francisco,Laptop,Online,401,8,0
133,608.1281829950772,18,Houston,Laptop,POS,198,19,0
134,1694.6997053041034,14,San Francisco,Desktop,Online,1284,6,0
135,4715.11942252347,22,Chicago,Desktop,POS,660,19,1
136,1622.7826307835685,22,New York,Desktop,POS,1776,4,0
137,2598.7652024993968,15,San Francisco,Desktop,POS,1071,7,0
138,3518.0646048869376,10,New York,Desktop,ATM Withdrawal,399,4,0
139,1824.5117158726769,21,Houston,Laptop,Online,1734,12,0
140,4859.192592777594,15,New York,Laptop,Online,1583,13,0
141,4812.612001761135,7,San Francisco,Laptop,POS,78,3,0
142,1266.393656168567,3,Chicago,Laptop,POS,124,12,1
143,2491.2700444030033,7,Houston,Desktop,Online,75,2,0
144,1511.3827659856806,3,San Francisco,Desktop,POS,1895,2,0
145,1431.3540669435633,23,Houston,Desktop,Online,137,9,0
146,194.06586729911865,2,Los Angeles,Mobile,ATM Withdrawal,602,1,0
147,3051.726026559685,2,New York,Laptop,POS,1424,8,0
148,2518.368325912019,17,Los Angeles,Laptop,Online,837,6,0
149,266.8789687374469,18,San Francisco,Desktop,POS,1529,6,0
150,1400.445856540691,18,Chicago,Laptop,Online,500,18,0
151,4542.246770973602,20,Houston,Laptop,Online,1597,17,0
152,1205.4138344281923,4,New York,Desktop,POS,138,12,0
153,733.0254117352032,17,Houston,Mobile,ATM Withdrawal,50,6,0
154,2452.3692737850392,9,San Francisco,Mobile,Online,1795,8,0
155,4928.395766011898,21,Houston,Mobile,Online,973,19,0
156,1217.855804842387,20,New York,Desktop,Online,1643,10,0
157,3363.956381555334,5,San Francisco,Laptop,ATM Withdrawal,1649,1,0
158,3810.4818804903007,0,Houston,Desktop,ATM Withdrawal,1886,13,1
159,1195.8113445220743,4,Chicago,Desktop,POS,254,17,0
160,3643.7995795731795,8,San Francisco,Laptop,ATM Withdrawal,1654,3,0
161,1845.2378322690736,11,San Francisco,Mobile,POS,710,8,0
162,3165.2060946619617,13,Chicago,Mobile,POS,1873,14,0
163,3171.3132566968648,1,Los Angeles,Desktop,ATM Withdrawal,1901,3,0
164,2683.5156735330447,16,New York,Mobile,POS,563,16,0
165,460.5459525714974,13,Los Angeles,Desktop,ATM Withdrawal,757,13,0
166,4178.159452990298,12,Houston,Desktop,POS,1939,17,0
167,1610.692524208962,8,Chicago,Laptop,ATM Withdrawal,1450,13,0
168,940.7273668952727,14,Los Angeles,Laptop,ATM Withdrawal,547,6,0
169,213.46795635827195,21,San Francisco,Laptop,POS,1326,17,0
170,2958.5557865093265,14,Houston,Desktop,Online,922,14,0
171,3391.0461655929894,23,Houston,Laptop,POS,581,17,0
172,92.7732663500022,10,Los Angeles,Mobile,ATM Withdrawal,1373,8,0
173,2565.344360913412,15,Los Angeles,Mobile,Online,1856,11,0
174,1140.2139182377105,16,Chicago,Desktop,POS,1957,1,1
175,3229.4122241431546,3,New York,Desktop,POS,49,7,1
176,880.0884807349073,0,Los Angeles,Laptop,POS,917,17,0
177,3457.779313131305,7,Los Angeles,Desktop,Online,1098,10,1
178,1939.8093780396816,16,San Francisco,Desktop,ATM Withdrawal,704,11,0
179,4684.282643796305,2,Houston,Mobile,POS,261,9,1
180,696.2295112885063,19,New York,Mobile,POS,356,9,0
181,1711.92109174079,14,San Francisco,Laptop,POS,1606,5,0
182,576.2328709905395,14,Chicago,Desktop,POS,1626,17,0
183,4624.221155210028,23,Chicago,Desktop,POS,1284,9,0
184,4387.923373371095,21,Los Angeles,Mobile,ATM Withdrawal,638,17,0
185,1297.1287222986264,13,Los Angeles,Desktop,ATM Withdrawal,743,19,0
186,3303.3203897105536,22,Chicago,Mobile,POS,1319,7,0
187,4087.938779004067,13,Los Angeles,Laptop,Online,1010,9,0
188,2780.452049881317,23,New York,Mobile,ATM Withdrawal,931,7,0
189,2652.9563859964724,1,Los Angeles,Desktop,Online,641,13,0
190,1216.842931593254,12,Houston,Laptop,ATM Withdrawal,792,11,0
191,474.58281135143704,13,Los Angeles,Mobile,POS,1337,14,0
192,4487.1066321871,23,San Francisco,Mobile,ATM Withdrawal,612,19,0
193,4503.086105245019,18,New York,Laptop,POS,1862,11,0
194,3169.176271793607,6,San Francisco,Laptop,ATM Withdrawal,809,13,0
195,1701.7586573330163,2,San Francisco,Mobile,POS,1206,14,1
196,1752.555777317178,14,Houston,Desktop,POS,686,13,0
197,3632.5188375624944,22,New York,Mobile,POS,1852,1,0
198,4486.58019716336,13,New York,Laptop,POS,1388,8,0
199,4436.561257082935,10,New York,Mobile,Online,188,12,0
200,3901.578973829543,14,New York,Laptop,POS,1593,19,0
201,3213.737914309896,12,New York,Laptop,Online,1567,12,0
202,429.8584253252937,17,Houston,Desktop,Online,1620,8,0
203,816.5272833321227,5,Los Angeles,Laptop,POS,1688,8,0
204,4493.7854007501255,2,San Francisco,Laptop,Online,985,13,0
205,3036.081007701354,18,New York,Desktop,ATM Withdrawal,548,12,0
206,55.89328756698194,14,Los Angeles,Laptop,POS,725,16,1
207,516.3429989015002,22,Los Angeles,Desktop,Online,926,1,0
208,3320.8738278491983,4,San Francisco,Desktop,POS,1432,13,0
209,35.25730339263124,9,Houston,Laptop,POS,876,7,0
210,812.4321765733183,6,Chicago,Laptop,POS,618,5,0
211,2748.1816089392646,16,Chicago,Mobile,Online,414,8,0
212,3462.5570364865393,6,Los Angeles,Desktop,ATM Withdrawal,1366,14,0
213,3263.286684917977,21,San Francisco,Mobile,ATM Withdrawal,1244,13,0
214,1129.1038542081933,11,Chicago,Laptop,Online,903,15,0
215,3563.774314524204,16,Los Angeles,Mobile,POS,163,17,0
216,1193.8729466090324,12,Houston,Desktop,Online,1975,15,0
217,1633.744493814746,19,Chicago,Mobile,Online,1244,18,0
218,3734.9921115389407,3,Los Angeles,Desktop,Online,270,18,0
219,3251.6681662456012,9,Los Angeles,Laptop,POS,632,2,0
220,4247.624818365948,2,New York,Laptop,Online,906,4,0
221,3291.488332578713,8,Houston,Desktop,POS,1872,1,0
222,2845.8599306440033,12,New York,Laptop,Online,1424,4,0
223,477.43709146218146,17,San Francisco,Laptop,ATM Withdrawal,1206,18,1
224,1844.9018572665732,14,New York,Laptop,Online,1642,5,0
225,1333.35981473181,3,New York,Laptop,Online,1753,19,0
226,1227.5083204616271,14,Chicago,Desktop,ATM Withdrawal,205,15,0
227,4865.322668214703,21,Los Angeles,Mobile,POS,582,8,1
228,1971.5576460871343,1,Houston,Mobile,POS,1580,17,0
229,4461.312310333796,14,New York,Laptop,Online,841,1,1
230,3159.381743726342,7,Houston,Mobile,ATM Withdrawal,1837,12,1
231,3976.1084046728256,7,New York,Mobile,POS,1252,19,0
232,2518.1590945949088,16,San Francisco,Laptop,Online,1720,15,1
233,2888.750384285532,11,New York,Laptop,ATM Withdrawal,1643,9,0
234,2467.663292156131,18,Chicago,Mobile,POS,596,7,0
235,984.262509112242,9,Los Angeles,Desktop,POS,1874,2,0
236,3615.0360551549115,8,San Francisco,Laptop,ATM Withdrawal,250,9,0
237,1411.0540885798705,4,New York,Desktop,ATM Withdrawal,875,10,0
238,131.33667249295468,5,Houston,Mobile,ATM Withdrawal,1465,2,0
239,3230.9067565767673,19,San Francisco,Laptop,ATM Withdrawal,1557,19,1
240,893.7822902411742,1,San Francisco,Desktop,Online,196,11,0
241,4702.888335921042,23,New York,Laptop,ATM Withdrawal,690,13,0
242,4770.103599242911,12,San Francisco,Mobile,POS,1953,10,1
243,4575.173307200038,5,Houston,Desktop,POS,1543,14,1
244,1857.0919142746675,4,San Francisco,Mobile,Online,1094,18,1
245,87.12851647904847,0,Houston,Mobile,POS,639,19,0
246,4642.309627312749,20,New York,Laptop,POS,1423,9,1
247,2146.6389001033986,21,Los Angeles,Desktop,ATM Withdrawal,672,7,0
248,4833.607547027911,20,San Francisco,Mobile,POS,1784,3,0
249,4818.463685675371,5,Los Angeles,Mobile,Online,1227,6,0
250,4266.517182782127,5,Houston,Desktop,ATM Withdrawal,1172,2,0
251,1479.2999714272325,22,San Francisco,Mobile,ATM Withdrawal,1496,6,0
252,1931.6376657236071,15,Chicago,Mobile,Online,1679,3,0
253,4257.171990869116,3,Los Angeles,Desktop,ATM Withdrawal,944,16,0
254,1591.4408057298256,10,San Francisco,Desktop,ATM Withdrawal,199,8,0
255,855.7688059636015,23,Los Angeles,Desktop,Online,1941,2,0
256,2788.4382996671675,22,San Francisco,Desktop,ATM Withdrawal,1450,17,0
257,4681.412323062297,8,New York,Laptop,Online,1690,9,0
258,3483.1886854081154,22,Los Angeles,Desktop,Online,492,12,0
259,2854.6052387459313,2,Chicago,Laptop,POS,1912,3,0
260,494.910703916135,18,Chicago,Laptop,POS,896,11,0
261,3078.886061228857,7,Houston,Laptop,ATM Withdrawal,142,1,1
262,4950.368712020274,4,San Francisco,Mobile,ATM Withdrawal,1337,13,0
263,709.0192360302549,3,Los Angeles,Laptop,Online,165,15,0
264,2596.464965295046,23,Houston,Laptop,ATM Withdrawal,314,5,0
265,4388.091628920498,5,Los Angeles,Mobile,Online,21,17,0
266,3706.4354025934804,1,San Francisco,Mobile,Online,1106,6,0
267,3488.108547566387,19,Chicago,Mobile,ATM Withdrawal,1605,11,0
268,3515.395579095675,10,New York,Desktop,Online,1155,18,0
269,1803.8608445865782,3,Chicago,Mobile,POS,1623,4,0
270,1475.0233028798218,14,Houston,Mobile,ATM Withdrawal,1754,3,0
271,4048.712165837783,5,New York,Laptop,POS,1957,13,0
272,4052.465839449112,21,Houston,Mobile,ATM Withdrawal,984,9,0
273,4336.690869714717,16,San Francisco,Desktop,Online,305,6,0
274,4567.070357256792,23,New York,Mobile,ATM Withdrawal,1939,12,0
275,2561.5985703160795,5,Houston,Desktop,POS,371,2,0
276,2512.566310489126,18,San Francisco,Mobile,Online,1881,3,1
277,3993.492943044208,1,Chicago,Mobile,ATM Withdrawal,853,3,1
278,3253.3200145810483,14,San Francisco,Mobile,ATM Withdrawal,384,12,0
279,3512.8147175159397,10,Los Angeles,Mobile,ATM Withdrawal,1932,15,0
280,3981.0054204861444,7,San Francisco,Desktop,POS,445,9,0
281,4451.1266556696555,18,San Francisco,Desktop,POS,425,8,0
282,1696.5958326891637,12,Los Angeles,Laptop,ATM Withdrawal,161,11,0
283,1884.1589336733207,11,Houston,Desktop,Online,1202,16,1
284,478.96987980593633,4,Houston,Mobile,Online,629,4,1
285,2895.6179035709083,5,San Francisco,Laptop,POS,1732,1,0
286,189.35194624574302,21,Los Angeles,Laptop,Online,895,7,0
287,2333.334110480976,3,Los Angeles,Laptop,POS,490,2,0
288,2717.7967271908074,18,Chicago,Mobile,ATM Withdrawal,1017,5,0
289,1439.8408481201393,19,Houston,Desktop,POS,327,7,0
290,2958.2579702393637,0,New York,Mobile,POS,598,4,0
291,162.19624719585664,19,Houston,Laptop,ATM Withdrawal,1015,5,0
292,196.36746185857993,16,Houston,Mobile,Online,289,1,0
293,4114.776797691695,11,Chicago,Mobile,POS,593,1,0
294,1807.3513006422017,14,New York,Desktop,POS,1688,15,1
295,644.0319581329051,0,Chicago,Desktop,ATM Withdrawal,1597,19,0
296,2615.9938676734737,13,New York,Laptop,Online,573,10,0
297,3852.267829962068,5,San Francisco,Mobile,POS,1378,18,0
298,1086.9469272092474,4,New York,Mobile,ATM Withdrawal,28,3,0
299,3118.2234743368113,10,Chicago,Desktop,POS,954,11,0
300,435.8838503189023,3,Houston,Mobile,ATM Withdrawal,43,15,0
301,267.8917886313524,12,New York,Mobile,Online,1705,11,0
302,2661.4596115250583,10,New York,Mobile,Online,423,17,0
303,2707.7692568344314,2,Los Angeles,Desktop,Online,1622,17,1
304,3190.775208476051,0,Houston,Laptop,Online,177,6,0
305,3633.195755276081,5,San Francisco,Laptop,POS,529,5,0
306,4879.5018765180475,17,Chicago,Mobile,POS,1634,8,0
307,2586.3387380229647,23,San Francisco,Laptop,Online,966,2,0
308,1621.5527999768174,9,Houston,Desktop,Online,1518,16,0
309,3977.9791118958315,4,New York,Desktop,Online,198,12,0
310,1361.4529337977503,22,New York,Laptop,POS,610,6,0
311,2200.4673893211243,9,Houston,Laptop,Online,1601,1,0
312,401.4973428979071,11,New York,Mobile,Online,842,4,1
313,136.50020964313296,1,New York,Laptop,Online,853,17,0
314,4813.615589242846,12,New York,Mobile,ATM Withdrawal,1541,13,0
315,4181.540801355907,7,Chicago,Mobile,Online,1538,18,0
316,3482.911288407553,1,Chicago,Desktop,ATM Withdrawal,22,5,0
317,2050.675192627207,19,Los Angeles,Desktop,ATM Withdrawal,1136,3,0
318,874.7386571535204,0,San Francisco,Desktop,Online,1081,11,0
319,790.6208429287194,4,Houston,Desktop,ATM Withdrawal,1090,13,0
320,1258.7120618413308,8,Houston,Laptop,Online,842,4,0
321,2750.6410568835413,16,Houston,Desktop,POS,98,14,0
322,3575.833654273311,8,Los Angeles,Laptop,POS,1168,11,0
323,3304.384909821479,10,Chicago,Desktop,POS,1904,10,0
324,1406.8701457602547,14,Los Angeles,Laptop,POS,435,19,0
325,4774.777750509338,23,Houston,Mobile,ATM Withdrawal,637,18,0
326,3692.105614311885,5,San Francisco,Laptop,Online,1703,6,1
327,2776.2267220318895,22,New York,Laptop,Online,1110,15,0
328,3062.4865237094177,2,Chicago,Desktop,Online,588,10,0
329,2103.8043115146716,16,Chicago,Laptop,POS,344,5,0
330,1246.1776376107757,4,Los Angeles,Mobile,POS,1960,5,0
331,1786.3036664697954,11,Chicago,Mobile,Online,1318,10,0
332,3791.652091217202,17,Houston,Desktop,POS,1980,5,0
333,81.82350826248178,13,Houston,Mobile,Online,571,3,0
334,589.202476129512,20,Los Angeles,Laptop,Online,1674,6,0
335,239.55318368854623,23,Houston,Mobile,Online,611,4,0
336,213.23672357166097,10,San Francisco,Desktop,Online,1728,18,0
337,4278.748314214926,8,Los Angeles,Laptop,Online,243,9,0
338,3521.252718306318,1,San Francisco,Desktop,Online,1855,17,0
339,2376.127407145753,11,New York,Laptop,Online,561,13,0
340,498.1924616484974,2,San Francisco,Mobile,POS,960,15,0
341,2463.1632168329934,2,New York,Desktop,Online,32,17,0
342,2372.624136195023,0,New York,Desktop,Online,391,13,0
343,874.2773308509758,7,San Francisco,Laptop,POS,277,16,0
344,2174.9197296974853,21,Los Angeles,Desktop,POS,532,4,0
345,1998.5386246428934,7,Houston,Laptop,POS,1178,5,0
346,3083.09198928056,10,Houston,Laptop,Online,383,5,0
347,3179.1173178295426,8,New York,Laptop,ATM Withdrawal,1092,9,1
348,236.06700876250216,4,New York,Laptop,ATM Withdrawal,1902,17,0
349,1879.3169469860914,13,Los Angeles,Mobile,POS,884,13,0
350,3133.0409794140396,2,Chicago,Laptop,ATM Withdrawal,214,2,0
351,2520.6499303146375,20,San Francisco,Desktop,POS,1679,13,0
352,4283.884307529728,4,New York,Mobile,Online,376,19,0
353,3296.8812217785357,4,Houston,Desktop,ATM Withdrawal,744,3,0
354,823.0427911363341,18,Los Angeles,Mobile,Online,213,10,1
355,362.1380495281449,13,San Francisco,Laptop,ATM Withdrawal,79,2,0
356,3215.672198249515,3,Los Angeles,Mobile,Online,1750,13,0
357,142.29143960269286,12,San Francisco,Mobile,ATM Withdrawal,628,19,0
358,2933.020150554582,9,San Francisco,Desktop,Online,604,17,0
359,4701.748904710538,17,New York,Desktop,Online,782,14,0
360,2881.616147600636,7,Los Angeles,Laptop,ATM Withdrawal,1947,12,0
361,1946.9679317705443,7,Los Angeles,Mobile,Online,1405,12,0
362,3220.0082100273426,6,Houston,Mobile,Online,1001,11,0
363,2296.681923552668,7,Houston,Mobile,Online,680,7,0
364,2732.6277786865153,13,New York,Laptop,ATM Withdrawal,58,4,0
365,4707.909395794861,18,New York,Laptop,ATM Withdrawal,1820,19,0
366,1936.6521626258634,5,Chicago,Laptop,Online,1050,1,1
367,4806.340913481332,0,Houston,Laptop,Online,881,3,0
368,4527.699703360758,22,San Francisco,Laptop,ATM Withdrawal,447,13,1
369,986.9977625985892,14,Los Angeles,Desktop,ATM Withdrawal,66,15,0
370,356.11289136707563,0,New York,Mobile,Online,1945,2,0
371,512.8822268733591,16,Los Angeles,Mobile,Online,1784,11,0
372,100.92691000123314,0,Los Angeles,Mobile,Online,1278,4,0
373,481.2703741720827,14,Chicago,Mobile,POS,1923,19,0
374,3418.2037993476206,22,Houston,Mobile,ATM Withdrawal,1992,17,0
375,365.23135581654265,1,New York,Mobile,POS,1068,3,0
376,1601.688395165869,13,Los Angeles,Mobile,ATM Withdrawal,1121,18,0
377,4225.927801737578,20,New York,Mobile,ATM Withdrawal,1578,8,0
378,126.12695932177107,7,San Francisco,Desktop,ATM Withdrawal,1012,19,0
379,4074.1977281187897,7,Chicago,Mobile,ATM Withdrawal,227,5,1
380,1416.4553261192657,18,San Francisco,Desktop,ATM Withdrawal,774,7,0
381,599.6424898320647,6,New York,Laptop,ATM Withdrawal,679,8,0
382,3486.7184551671116,18,New York,Mobile,ATM Withdrawal,1460,5,0
383,3148.4248054316213,5,Houston,Laptop,POS,1815,17,0
384,4388.585347499994,5,Los Angeles,Laptop,Online,601,5,0
385,3678.00450858139,2,Los Angeles,Laptop,Online,379,4,0
386,4019.3698426203946,6,San Francisco,Desktop,POS,1202,19,0
387,1417.3525171308193,18,Chicago,Laptop,POS,1451,2,0
388,895.4233234608168,7,Los Angeles,Laptop,POS,1939,11,0
389,3755.567610687883,9,Houston,Laptop,POS,709,13,0
390,4036.1053489436476,19,San Francisco,Mobile,ATM Withdrawal,307,15,1
391,4952.62065858336,14,San Francisco,Mobile,Online,779,12,0
392,2068.962207788018,14,Houston,Desktop,ATM Withdrawal,504,11,0
393,1866.370248105988,0,Chicago,Desktop,Online,268,7,0
394,3884.3006741025642,19,Houston,Mobile,Online,1610,5,0
395,1710.609665862559,6,Chicago,Desktop,POS,8,17,1
396,4654.479054761788,3,Houston,Mobile,ATM Withdrawal,1944,9,0
397,4293.4796316966285,5,Houston,Laptop,POS,508,14,0
398,2150.680196601342,0,New York,Laptop,ATM Withdrawal,476,12,0
399,3756.846628279572,4,San Francisco,Desktop,Online,1321,6,0
400,3775.1689416825648,22,Houston,Mobile,POS,164,17,0
401,524.5881054913037,0,Houston,Mobile,POS,485,19,0
402,4513.739004331038,3,Los Angeles,Desktop,Online,1621,19,0
403,2531.2093385148073,21,San Francisco,Mobile,Online,1096,16,0
404,4134.0227558776305,1,Los Angeles,Laptop,Online,567,12,1
405,1607.0475091427527,9,San Francisco,Desktop,POS,905,12,0
406,4478.66091019604,4,Los Angeles,Desktop,ATM Withdrawal,559,6,0
407,1952.116376883474,9,Houston,Mobile,POS,1935,4,0
408,64.07988088668881,0,Houston,Desktop,ATM Withdrawal,1968,6,0
409,4527.8560623321255,21,New York,Mobile,POS,238,11,1
410,465.52051716280647,5,Los Angeles,Mobile,POS,1128,1,0
